Unnamed: 0,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
31,0_checking,24,Existing_credits_paid_till_now,furniture/equipment,3760.0,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27.0,stores,own,1,skilled_employee/official,1,none,yes,0
32,from_zero_to_200,18`,Existing_credits_paid_till_now,new_car,4336.067178493167,100_to_500DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,30.0,none,own,2,skilled_employee/official,1,yes,yes,0
33,None,12,Critical_acct_other_credits_existing,business,4066.3859589783474,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,,none,rent,1,unskilled_resident,1,none,yes,0
34,more_than_200,12,Existing_credits_paid_till_now,furniture/equipment,3459.3297721892113,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,33.0,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
35,from_0_to_200,45,Critical_acct_other_credits_existing,radio/television,6209.0,<100DM,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,25.0,none,own,2,unskilled_resident,1,none,yes,1
36,None,48,Critical_acct_other_credits_existing,education,879.0,<100DM,1_to_4yrs,1,male_single,None,3,unknown/no_property,31.0,bank,for_free,1,skilled_employee/official,1,yes,yes,0
37,more_then_200,18`,Existing_credits_paid_till_now,radio/television,12692.0,<100DM,1_to_4yrs,4,male_single,co-applicant,2,real_estate,37.0,stores,own,1,skilled_employee/official,1,none,yes,1
38,more_than_200,10,Existing_credits_paid_till_now,domestic_appliances,1576.596483129146,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,37.0,none,own,1,skilled_employee/official,1,yes,yes,0
39,from_zero_to_200,9,Existing_credits_paid_till_now,radio/television,3956.0,<100DM,1_to_4yrs,4,male_single,None,3,real_estate,24.0,none,own,1,skilled_employee/official,1,none,yes,0
40,None,30,Existing_credits_paid_till_now,radio/television,508.0,500_to_1000DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,,bank,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0
41,from_zero_to_200,12,Existing_credits_paid_till_now,radio/television,11778.0,500_to_1000DM,1_to_4yrs,3,male_divorced/separated,None,1,car_or_other_nonsavings,26.0,none,own,1,skilled_employee/official,1,yes,yes,0
42,from_zero_to_200,18`,None,repairs,4033.0,<100DM,1_to_4yrs,2,male_single,None,4,real_estate,44.0,none,own,1,unskilled_resident,2,yes,yes,0
43,zero_checking,30,Critical_acct_other_credits_existing,used_car,3672.0,100_to_500DM,4_to_7yrs,1,male_married/widowed,None,4,car_or_other_nonsavings,24.0,none,rent,2,skilled_employee/official,1,none,yes,0
44,zero_checking,48,Critical_acct_other_credits_existing,used_car,7911.518076124448,<100DM,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,58.0,stores,for_free,2,unskilled_resident,1,none,yes,1
45,None,11,Critical_acct_other_credits_existing,new_car,1894.6660622942206,<100DM,<1yr,4,feemale_divorced/separated/married,None,4,car_or_other_nonsavings,35.0,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,0
46,None,36,Existing_credits_paid_till_now,radio/television,906.5144103480634,500_to_1000DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,39.0,none,own,1,skilled_employee/official,1,none,yes,0
47,0_checking,6,Existing_credits_paid_till_now,used_car,3773.0,500_to_1000DM,unemployed,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23.0,none,rent,1,unemployed/unskilled_nonresident,1,yes,yes,0
48,None,11,Critical_acct_other_credits_existing,new_car,4047.2097673529797,<100DM,1_to_4yrs,1,male_single,None,4,building_society_savings_agreement/life_insurance,39.0,none,own,2,unskilled_resident,1,none,yes,0
49,None,12,Existing_credits_paid_till_now,radio/television,2913.6598738084167,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,2,real_estate,28.0,none,own,1,skilled_employee/official,1,none,yes,0
50,from_0_to_200,24,Delay_in_past,furniture/equipment,801.0,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,29.0,bank,own,1,unskilled_resident,1,none,yes,0
51,from_zero_to_200,27,Delay_in_past,used_car,1473.3933986222294,<100DM,>7yrs,1,male_single,None,2,car_or_other_nonsavings,30.0,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
52,None,12,Existing_credits_paid_till_now,radio/television,1834.8024781120569,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,25.0,none,own,1,skilled_employee/official,1,none,yes,0
53,None,18`,Existing_credits_paid_till_now,usedcar,848.0,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,1,building_society_savings_agreement/life_insurance,31.0,none,own,1,skilled_employee/official,1,yes,yes,0
54,from_0_to_200,36,Delay_in_past,new_car,5571.181518884966,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,57.0,bank,for_free,2,skilled_employee/official,1,yes,yes,1
55,None,6,All_credits_paid_duly,newcar,4780.0,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,guarantor,2,real_estate,26.0,stores,own,1,unskilled_resident,2,none,yes,0
56,from_zero_to_200,12,Existing_credits_paid_till_now,radio/television,15826.0,Unknown_or_no_savings_acct,unemployed,2,male_single,None,1,unknown/no_property,52.0,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
57,None,36,Critical_acct_other_credits_existing,radio/television,2071.0,<100DM,1_to_4yrs,2,feemale_divorced/separated/married,None,2,car_or_other_nonsavings,31.0,stores,own,2,skilled_employee/official,1,none,yes,0
58,more_than_200,18`,Existing_credits_paid_till_now,new_car,581.7264586634093,<100DM,>7yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,23.0,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0
59,zero_checking,36,Critical_acct_other_credits_existing,furniture/equipment,714.0,<100DM,<1yr,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,23.0,none,rent,2,unskilled_resident,1,yes,yes,1
60,from_0_to_200,9,Existing_credits_paid_till_now,business,1320.0,<100DM,1_to_4yrs,2,male_married/widowed,None,1,real_estate,27.0,bank,own,1,skilled_employee/official,1,yes,yes,0
61,from_zero_to_200,15,Critical_acct_other_credits_existing,radio/television,753.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,guarantor,4,real_estate,50.0,none,own,2,skilled_employee/official,1,yes,yes,0
62,from_zero_to_200,36,No_credits_taken_or_all_paid,business,9347.029743658759,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,61.0,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
63,from_0_to_200,48,No_credits_taken_or_all_paid,business,11660.0,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,25.0,none,own,1,skilled_employee/official,1,yes,yes,1
64,None,24,Existing_credits_paid_till_now,radio/television,1696.0,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,,none,own,1,skilled_employee/official,1,yes,yes,0
65,None,27,Existing_credits_paid_till_now,repairs,5087.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,48.0,none,own,4,skilled_employee/official,2,yes,yes,0
66,None,12,Existing_credits_paid_till_now,radio/television,3570.0,<100DM,<1yr,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,29.0,bank,own,1,skilled_employee/official,1,none,yes,0
67,from_zero_to_200,12,Existing_credits_paid_till_now,new_car,1655.3231975976134,>1000DM,1_to_4yrs,4,male_married/widowed,None,1,real_estate,22.0,none,own,1,skilled_employee/official,1,none,yes,0
68,None,36,Existing_credits_paid_till_now,education,8940.0,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,37.0,stores,for_free,1,skilled_employee/official,1,yes,yes,1
69,None,36,Existing_credits_paid_till_now,radio/television,3268.0,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,25.0,none,own,1,skilled_employee/official,1,none,yes,0
70,None,36,Existing_credits_paid_till_now,used_car,4822.0,<100DM,1_to_4yrs,1,feemale_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30.0,bank,own,1,skilled_employee/official,1,none,yes,0
71,None,7,Critical_acct_other_credits_existing,radio/television,647.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,,none,rent,2,unskilled_resident,1,yes,yes,0
72,0_checking,8,Critical_acct_other_credits_existing,other,3261.663279153605,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,51.0,bank,for_free,2,management_self-employed_highly_qualified/officer,2,yes,yes,0
73,from_zero_to_200,42,Critical_acct_other_credits_existing,business,1086.7363981849217,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,41.0,bank,own,2,unskilled_resident,1,none,yes,0
74,0_checking,36,Existing_credits_paid_till_now,education,6908.987866995525,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,40.0,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
75,0_checking,None,Critical_acct_other_credits_existing,used_car,4963.0,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,66.0,none,for_free,2,management_self-employed_highly_qualified/officer,1,none,yes,0
76,zero_checking,42,Existing_credits_paid_till_now,radio/television,6481.0,<100DM,<1yr,4,male_single,None,3,car_or_other_nonsavings,34.0,none,own,1,skilled_employee/official,1,none,yes,1
77,from_0_to_200,11,Delay_in_past,radio/television,3104.8760174825816,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,51.0,none,own,1,skilled_employee/official,1,none,yes,0
78,None,54,No_credits_taken_or_all_paid,used_car,1319.0,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,39.0,none,own,1,unskilled_resident,2,none,yes,0
79,from_0_to_200,30,Existing_credits_paid_till_now,furniture/equipment,663.0,<100DM,<1yr,2,male_married/widowed,None,1,building_society_savings_agreement/life_insurance,22.0,none,own,1,skilled_employee/official,1,none,yes,0
80,None,24,Existing_credits_paid_till_now,radio/television,10476.0,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,44.0,none,own,2,skilled_employee/official,1,yes,yes,1
81,None,15,Existing_credits_paid_till_now,radio/television,736.0,500_to_1000DM,>7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,47.0,stores,own,1,skilled_employee/official,1,yes,yes,0
82,None,18`,Existing_credits_paid_till_now,business,1427.0,100_to_500DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24.0,none,rent,1,unskilled_resident,1,none,yes,0
83,0_checking,24,Existing_credits_paid_till_now,other,2178.0,<100DM,>7yrs,4,female_divorced/separated/married,guarantor,4,real_estate,58.0,none,own,1,unskilled_resident,1,yes,yes,0
84,0_checking,10,Existing_credits_paid_till_now,radio/television,2373.0,<100DM,>7yrs,3,male_single,None,4,real_estate,52.0,none,own,1,unskilled_resident,1,none,yes,0
85,None,12,Critical_acct_other_credits_existing,business,1915.7033548010406,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,2,real_estate,29.0,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
86,from_0_to_200,None,Critical_acct_other_credits_existing,furniture/equipment,2667.9298701375264,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27.0,none,own,2,skilled_employee/official,1,none,yes,0
87,from_0_to_200,36,Existing_credits_paid_till_now,education,5715.093724011746,100_to_500DM,1_to_4yrs,1,male_single,None,4,unknown/no_property,47.0,none,for_free,1,skilled_employee/official,2,yes,yes,1
88,zero_checking,18`,Existing_credits_paid_till_now,new_car,781.747475465334,100_to_500DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,30.0,none,own,1,management_self-employed_highly_qualified/officer,2,yes,yes,0
89,zero_checking,12,No_credits_taken_or_all_paid,repairs,7736.361939840171,<100DM,4_to_7yrs,4,male_single,None,3,real_estate,28.0,none,own,2,skilled_employee/official,1,none,yes,1
90,None,12,Critical_acct_other_credits_existing,radio/television,2323.0,<100DM,>7yrs,4,male_single,None,4,real_estate,,none,own,1,skilled_employee/official,1,none,yes,0
91,0_checking,12,Critical_acct_other_credits_existing,used_car,1989.0,<100DM,>7yrs,4,male_single,None,3,real_estate,54.0,none,own,1,skilled_employee/official,1,none,yes,0
92,None,12,Critical_acct_other_credits_existing,radio/television,8863.0,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,33.0,bank,own,1,unskilled_resident,2,none,yes,1
93,more_than_200,24,Critical_acct_other_credits_existing,furniture/equipment,1670.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,co-applicant,4,unknown/no_property,20.0,none,rent,2,skilled_employee/official,1,none,yes,0
94,from_0_to_200,12,Existing_credits_paid_till_now,new_car,1956.0,>1000DM,>7yrs,4,male_single,None,4,real_estate,54.0,none,own,1,skilled_employee/official,1,yes,yes,0
95,from_zero_to_200,54,No_credits_taken_or_all_paid,business,7541.0,<100DM,<1yr,3,male_single,None,4,unknown/no_property,58.0,none,rent,1,skilled_employee/official,1,yes,yes,1
96,None,12,Critical_acct_other_credits_existing,education,3574.0,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,61.0,none,own,1,skilled_employee/official,1,none,yes,0
97,from_zero_to_200,18`,Existing_credits_paid_till_now,business,3897.0,100_to_500DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,34.0,none,own,1,skilled_employee/official,1,none,yes,0
98,from_zero_to_200,36,Critical_acct_other_credits_existing,radio/television,1643.7094555290732,<100DM,>7yrs,4,male_single,None,4,real_estate,36.0,none,own,1,skilled_employee/official,1,none,yes,0
99,from_0_to_200,20,Delay_in_past,used_car,4213.0,Unknown_or_no_savings_acct,4_to_7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,36.0,bank,rent,2,management_self-employed_highly_qualified/officer,2,yes,yes,0
100,None,24,Existing_credits_paid_till_now,new_car,2748.802704749906,100_to_500DM,>7yrs,4,male_married/widowed,None,4,real_estate,41.0,none,rent,1,unskilled_resident,1,none,yes,0
101,from_0_to_200,36,Existing_credits_paid_till_now,radio/television,6751.0,<100DM,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,,none,rent,1,skilled_employee/official,1,none,yes,0
102,None,6,Delay_in_past,radio/television,1250.1215373544792,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,24.0,none,own,1,skilled_employee/official,1,none,yes,0
103,from_zero_to_200,9,Critical_acct_other_credits_existing,furniture/equipment,4351.409863696902,<100DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,35.0,none,rent,1,skilled_employee/official,1,yes,yes,0
104,None,12,Existing_credits_paid_till_now,used_car,1918.6472539429376,Unknown_or_no_savings_acct,<1yr,2,male_married/widowed,None,4,car_or_other_nonsavings,26.0,none,rent,1,skilled_employee/official,1,yes,yes,0
105,from_0_to_200,24,Critical_acct_other_credits_existing,other,12038.0,<100DM,1_to_4yrs,2,male_single,co-applicant,3,car_or_other_nonsavings,39.0,none,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1
106,None,18`,All_credits_paid_duly,newcar,5783.0,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,39.0,bank,own,2,management_self-employed_highly_qualified/officer,2,yes,yes,1
107,from_0_to_200,12,Existing_credits_paid_till_now,new_car,1791.5033697087476,<100DM,4_to_7yrs,2,male_single,None,2,car_or_other_nonsavings,32.0,none,own,1,skilled_employee/official,1,none,yes,0
108,0_checking,24,Existing_credits_paid_till_now,furniture/equipment,6328.0,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30.0,none,own,1,skilled_employee/official,1,yes,no,0
109,from_zero_to_200,14,Existing_credits_paid_till_now,business,3703.4616048897856,500_to_1000DM,>7yrs,1,male_married/widowed,None,2,real_estate,35.0,none,own,1,skilled_employee/official,1,yes,yes,0
110,from_0_to_200,6,None,business,1066.0,100_to_500DM,>7yrs,1,male_divorced/separated,None,2,car_or_other_nonsavings,31.0,bank,own,2,skilled_employee/official,2,none,yes,0
111,more_than_200,15,Existing_credits_paid_till_now,education,841.0,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23.0,none,rent,1,skilled_employee/official,1,yes,yes,0
112,from_0_to_200,18`,Existing_credits_paid_till_now,new_car,1945.0,<100DM,4_to_7yrs,3,male_single,None,3,real_estate,28.0,none,rent,1,unskilled_resident,1,none,yes,0
113,None,36,Critical_acct_other_credits_existing,new_car,8062.399911609815,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,,stores,own,2,skilled_employee/official,1,yes,yes,1
114,0_checking,12,None,radio/television,3953.0,500_to_1000DM,>7yrs,3,male_married/widowed,None,1,real_estate,35.0,none,own,1,skilled_employee/official,1,none,yes,0
115,None,48,None,radio/television,1161.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,1,real_estate,47.0,none,own,1,skilled_employee/official,1,yes,yes,0
116,zero_checking,42,Existing_credits_paid_till_now,radio/television,8063.39671561565,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,30.0,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
117,0_checking,10,Critical_acct_other_credits_existing,furniture/equipment,2928.0,Unknown_or_no_savings_acct,<1yr,2,female_divorced/separated/married,co-applicant,3,real_estate,27.0,none,rent,2,skilled_employee/official,1,none,no,0
118,0_checking,33,Critical_acct_other_credits_existing,furniture/equipment,11264.0,500_to_1000DM,1_to_4yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,23.0,none,own,2,skilled_employee/official,1,none,yes,1
119,from_zero_to_200,12,Critical_acct_other_credits_existing,new_car,2863.8754455564995,500_to_1000DM,4_to_7yrs,3,male_divorced/separated,None,3,car_or_other_nonsavings,36.0,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
120,0_checking,21,Existing_credits_paid_till_now,radio/television,874.0,<100DM,1_to_4yrs,3,feemale_divorced/separated/married,None,2,real_estate,25.0,none,own,2,skilled_employee/official,1,yes,yes,1
121,None,24,Critical_acct_other_credits_existing,used_car,3920.0,<100DM,>7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,41.0,none,rent,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
122,None,12,Existing_credits_paid_till_now,furniture/equipment,932.7248872490144,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,24.0,none,rent,1,unskilled_resident,1,none,yes,0
123,more_than_200,10,Critical_acct_other_credits_existing,new_car,4338.0,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,63.0,none,for_free,2,skilled_employee/official,1,yes,yes,0
124,from_0_to_200,18`,Existing_credits_paid_till_now,furniture/equipment,6103.0,Unknown_or_no_savings_acct,<1yr,4,female_divorced/separated/married,None,3,real_estate,27.0,none,rent,1,skilled_employee/official,1,none,yes,1
125,zero_checking,12,Critical_acct_other_credits_existing,newcar,3376.2303119854223,<100DM,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,30.0,none,own,2,skilled_employee/official,1,none,yes,0
126,0_checking,12,Existing_credits_paid_till_now,radio/television,1711.0,<100DM,1_to_4yrs,4,male_married/widowed,None,2,real_estate,40.0,none,own,1,unskilled_resident,1,none,yes,0
127,from_zero_to_200,12,Existing_credits_paid_till_now,repairs,7079.785880240772,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,30.0,none,own,1,skilled_employee/official,1,none,yes,1
128,from_zero_to_200,12,Critical_acct_other_credits_existing,used_car,10056.0,<100DM,unemployed,4,male_single,None,2,car_or_other_nonsavings,34.0,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
129,0_checking,12,Critical_acct_other_credits_existing,new_car,6363.5896650518225,<100DM,1_to_4yrs,3,female_divorced/separated/married,co-applicant,2,real_estate,29.0,none,own,2,skilled_employee/official,1,none,yes,1
130,from_0_to_200,48,Existing_credits_paid_till_now,new_car,4468.320632635229,Unknown_or_no_savings_acct,4_to_7yrs,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,24.0,none,own,1,skilled_employee/official,1,none,yes,0
131,0_checking,36,Delay_in_past,education,5705.0,<100DM,1_to_4yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,,stores,own,1,skilled_employee/official,1,yes,yes,1
132,None,15,Existing_credits_paid_till_now,furniture/equipment,2489.0,<100DM,<1yr,2,male_single,None,3,building_society_savings_agreement/life_insurance,27.0,bank,own,2,unskilled_resident,1,none,yes,0
133,None,18`,Existing_credits_paid_till_now,furniture/equipment,3469.0,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,47.0,bank,for_free,2,skilled_employee/official,1,none,yes,0
134,None,60,Existing_credits_paid_till_now,radio/television,582.1831159399544,100_to_500DM,4_to_7yrs,2,female_divorced/separated/married,None,4,real_estate,21.0,none,own,1,skilled_employee/official,1,yes,yes,0
